f1,precision,recall,targetFraction
0.0765639589169001,0.0765639589169001,0.0765639589169001,0.0
0.056489262371615306,0.05648926237161531,0.05648926237161531,0.0
0.04435107376283847,0.04435107376283847,0.04435107376283847,0.0
0.18160597572362278,0.18160597572362278,0.18160597572362278,0.0
0.006071929005137785,0.006071929005137786,0.006071929005137786,0.0
0.6414565826330533,0.6414565826330533,0.6414565826330533,0.2
0.6512605042016807,0.6512605042016807,0.6512605042016807,0.2
0.6479925303454716,0.6479925303454716,0.6479925303454716,0.2
0.534547152194211,0.534547152194211,0.534547152194211,0.2
0.6753853339560952,0.6753853339560952,0.6753853339560952,0.2
0.6727357609710551,0.6727357609710551,0.6727357609710551,0.4
0.7035480859010271,0.7035480859010271,0.7035480859010271,0.4
0.6830065359477124,0.6830065359477124,0.6830065359477124,0.4
0.5723622782446312,0.5723622782446312,0.5723622782446312,0.4
0.694535263895376,0.694535263895376,0.694535263895376,0.4
0.7198879551820728,0.7198879551820728,0.7198879551820728,0.6
0.7180205415499533,0.7180205415499533,0.7180205415499533,0.6
0.7012138188608776,0.7012138188608776,0.7012138188608776,0.6
0.61531279178338,0.61531279178338,0.61531279178338,0.6
0.6992059785147128,0.6992059785147128,0.6992059785147128,0.6
0.7203548085901027,0.7203548085901027,0.7203548085901027,0.8
0.7250233426704016,0.7250233426704015,0.7250233426704015,0.8
0.6988795518207283,0.6988795518207283,0.6988795518207283,0.8
0.611577964519141,0.611577964519141,0.611577964519141,0.8
0.7188229799159271,0.7188229799159271,0.7188229799159271,0.8
0.738562091503268,0.738562091503268,0.738562091503268,1.0
0.7408963585434174,0.7408963585434174,0.7408963585434174,1.0
0.7100840336134453,0.7100840336134454,0.7100840336134454,1.0
0.6209150326797386,0.6209150326797386,0.6209150326797386,1.0
0.7351704810836058,0.7351704810836058,0.7351704810836058,1.0
