f1,precision,recall,targetFraction
0.15219421101774042,0.15219421101774042,0.15219421101774042,0.0
0.02474323062558356,0.02474323062558357,0.02474323062558357,0.0
0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.0
0.06535947712418301,0.06535947712418301,0.06535947712418301,0.0
0.03362914525922466,0.03362914525922466,0.03362914525922466,0.0
0.6260504201680672,0.6260504201680672,0.6260504201680672,0.2
0.6339869281045751,0.6339869281045751,0.6339869281045751,0.2
0.6437908496732027,0.6437908496732027,0.6437908496732027,0.2
0.626984126984127,0.626984126984127,0.626984126984127,0.2
0.5172735760971056,0.5172735760971056,0.5172735760971056,0.2
0.5903783278841663,0.5903783278841663,0.5903783278841663,0.2
0.6867413632119514,0.6867413632119514,0.6867413632119514,0.4
0.6708683473389355,0.6708683473389355,0.6708683473389355,0.4
0.6788048552754435,0.6788048552754435,0.6788048552754435,0.4
0.6713352007469654,0.6713352007469654,0.6713352007469654,0.4
0.5476190476190477,0.5476190476190477,0.5476190476190477,0.4
0.6576366184026156,0.6576366184026156,0.6576366184026156,0.4
0.6942110177404295,0.6942110177404295,0.6942110177404295,0.6
0.6956115779645191,0.6956115779645191,0.6956115779645191,0.6
0.6811391223155929,0.6811391223155929,0.6811391223155929,0.6
0.5798319327731093,0.5798319327731093,0.5798319327731093,0.6
0.6823914058851004,0.6823914058851004,0.6823914058851004,0.6
0.7133520074696547,0.7133520074696545,0.7133520074696545,0.8
0.6848739495798319,0.6848739495798319,0.6848739495798319,0.8
0.6811391223155929,0.6811391223155929,0.6811391223155929,0.8
0.5868347338935574,0.5868347338935574,0.5868347338935574,0.8
0.6921999065857076,0.6921999065857076,0.6921999065857076,0.8
0.7012138188608776,0.7012138188608776,0.7012138188608776,1.0
0.6858076563958917,0.6858076563958917,0.6858076563958917,1.0
0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0
0.6045751633986928,0.6045751633986928,0.6045751633986928,1.0
0.7066791219056515,0.7066791219056515,0.7066791219056515,1.0
