f1,precision,recall,targetFraction
0.034080298786181136,0.034080298786181136,0.034080298786181136,0.0
0.08496732026143791,0.08496732026143791,0.08496732026143791,0.0
0.04201680672268908,0.04201680672268908,0.04201680672268908,0.0
0.0480859010270775,0.0480859010270775,0.0480859010270775,0.0
0.015413358243811303,0.015413358243811303,0.015413358243811303,0.0
0.6573295985060691,0.6573295985060691,0.6573295985060691,0.2
0.634453781512605,0.634453781512605,0.634453781512605,0.2
0.6321195144724556,0.6321195144724556,0.6321195144724556,0.2
0.6213818860877685,0.6213818860877685,0.6213818860877685,0.2
0.5107376283846872,0.5107376283846872,0.5107376283846872,0.2
0.6263428304530593,0.6263428304530593,0.6263428304530593,0.2
0.6853408029878618,0.6853408029878618,0.6853408029878618,0.4
0.6839402427637722,0.6839402427637722,0.6839402427637722,0.4
0.669000933706816,0.669000933706816,0.669000933706816,0.4
0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4
0.6665109761793554,0.6665109761793554,0.6665109761793554,0.4
0.7049486461251168,0.7049486461251168,0.7049486461251168,0.6
0.7156862745098039,0.7156862745098039,0.7156862745098039,0.6
0.6825396825396826,0.6825396825396826,0.6825396825396826,0.6
0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6
0.6683792620270902,0.6683792620270902,0.6683792620270902,0.6
0.7110177404295052,0.7110177404295052,0.7110177404295052,0.8
0.7254901960784313,0.7254901960784313,0.7254901960784313,0.8
0.7035480859010271,0.7035480859010271,0.7035480859010271,0.8
0.6059757236227824,0.6059757236227824,0.6059757236227824,0.8
0.7052779075198505,0.7052779075198505,0.7052779075198505,0.8
0.7296918767507002,0.7296918767507002,0.7296918767507002,1.0
0.7161531279178339,0.7161531279178338,0.7161531279178338,1.0
0.7264239028944911,0.7264239028944911,0.7264239028944911,1.0
0.5975723622782446,0.5975723622782446,0.5975723622782446,1.0
0.7024754787482484,0.7024754787482484,0.7024754787482484,1.0
