f1,precision,recall,targetFraction
0.09243697478991597,0.09243697478991597,0.09243697478991597,0.0
0.0915032679738562,0.0915032679738562,0.0915032679738562,0.0
0.01027077497665733,0.01027077497665733,0.01027077497665733,0.0
0.021475256769374416,0.021475256769374416,0.021475256769374416,0.0
0.12751050910789352,0.12751050910789352,0.12751050910789352,0.0
0.6414565826330533,0.6414565826330533,0.6414565826330533,0.2
0.6409897292250234,0.6409897292250234,0.6409897292250234,0.2
0.6297852474323062,0.6297852474323062,0.6297852474323062,0.2
0.5210084033613446,0.5210084033613446,0.5210084033613446,0.2
0.6132648295189164,0.6132648295189164,0.6132648295189164,0.2
0.6587301587301587,0.6587301587301587,0.6587301587301587,0.4
0.69234360410831,0.69234360410831,0.69234360410831,0.4
0.669000933706816,0.669000933706816,0.669000933706816,0.4
0.5536881419234361,0.5536881419234361,0.5536881419234361,0.4
0.6753853339560952,0.6753853339560952,0.6753853339560952,0.4
0.7068160597572363,0.7068160597572363,0.7068160597572363,0.6
0.7124183006535948,0.7124183006535948,0.7124183006535948,0.6
0.6624649859943977,0.6624649859943977,0.6624649859943977,0.6
0.5742296918767507,0.5742296918767507,0.5742296918767507,0.6
0.6903316207379729,0.6903316207379729,0.6903316207379729,0.6
0.7301587301587301,0.7301587301587301,0.7301587301587301,0.8
0.7250233426704016,0.7250233426704015,0.7250233426704015,0.8
0.6979458450046685,0.6979458450046685,0.6979458450046685,0.8
0.611577964519141,0.611577964519141,0.611577964519141,0.8
0.7230266230733302,0.7230266230733302,0.7230266230733302,0.8
0.7128851540616246,0.7128851540616247,0.7128851540616247,1.0
0.7287581699346405,0.7287581699346405,0.7287581699346405,1.0
0.7049486461251168,0.7049486461251168,0.7049486461251168,1.0
0.6064425770308123,0.6064425770308123,0.6064425770308123,1.0
0.7239607659971976,0.7239607659971976,0.7239607659971976,1.0
