auxFraction,f1,precision,recall,targetFraction
0,0.07329598506069095,0.07329598506069095,0.07329598506069095,0
0,0.07376283846872082,0.07376283846872082,0.07376283846872082,0
0,0.09010270774976657,0.09010270774976657,0.09010270774976657,0
0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0
0,0.04156936011209715,0.04156936011209715,0.04156936011209715,0
0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0
0,0.06395891690009337,0.06395891690009337,0.06395891690009337,0
0,0.0480859010270775,0.0480859010270775,0.0480859010270775,0
0,0.0546218487394958,0.0546218487394958,0.0546218487394958,0
0,0.0541802895843064,0.0541802895843064,0.0541802895843064,0
0,0.06395891690009337,0.06395891690009337,0.06395891690009337,0
0,0.10737628384687208,0.10737628384687208,0.10737628384687208,0
0,0.036414565826330535,0.036414565826330535,0.036414565826330535,0
0,0.04855275443510738,0.04855275443510738,0.04855275443510738,0
0,0.06492293320878094,0.06492293320878094,0.06492293320878094,0
0,0.05228758169934641,0.05228758169934641,0.05228758169934641,0
0,0.0718954248366013,0.0718954248366013,0.0718954248366013,0
0,0.056489262371615306,0.05648926237161531,0.05648926237161531,0
0,0.049019607843137254,0.049019607843137254,0.049019607843137254,0
0,0.06725829051844932,0.06725829051844932,0.06725829051844932,0
0,0.08029878618113913,0.08029878618113913,0.08029878618113913,0
0,0.03454715219421102,0.03454715219421102,0.03454715219421102,0
0,0.0611577964519141,0.0611577964519141,0.0611577964519141,0
0,0.042483660130718956,0.042483660130718956,0.042483660130718956,0
0,0.13638486688463336,0.13638486688463336,0.13638486688463336,0
0,0.6489262371615313,0.6489262371615313,0.6489262371615313,0.2
0,0.6260504201680672,0.6260504201680672,0.6260504201680672,0.2
0,0.623249299719888,0.623249299719888,0.623249299719888,0.2
0,0.5336134453781513,0.5336134453781513,0.5336134453781513,0.2
0,0.6286781877627277,0.6286781877627277,0.6286781877627277,0.2
0,0.6409897292250234,0.6409897292250234,0.6409897292250234,0.2
0,0.6260504201680672,0.6260504201680672,0.6260504201680672,0.2
0,0.6199813258636788,0.6199813258636788,0.6199813258636788,0.2
0,0.5429505135387488,0.5429505135387488,0.5429505135387488,0.2
0,0.6160672582905184,0.6160672582905184,0.6160672582905184,0.2
0,0.6335200746965453,0.6335200746965453,0.6335200746965453,0.2
0,0.6479925303454716,0.6479925303454716,0.6479925303454716,0.2
0,0.6064425770308123,0.6064425770308123,0.6064425770308123,0.2
0,0.5219421101774043,0.5219421101774043,0.5219421101774043,0.2
0,0.6296123306865951,0.6296123306865951,0.6296123306865951,0.2
0,0.6409897292250234,0.6409897292250234,0.6409897292250234,0.2
0,0.6517273576097106,0.6517273576097106,0.6517273576097106,0.2
0,0.5938375350140056,0.5938375350140056,0.5938375350140056,0.2
0,0.5172735760971056,0.5172735760971056,0.5172735760971056,0.2
0,0.6370854740775339,0.6370854740775339,0.6370854740775339,0.2
0,0.6521942110177404,0.6521942110177404,0.6521942110177404,0.2
0,0.6274509803921569,0.6274509803921569,0.6274509803921569,0.2
0,0.6059757236227824,0.6059757236227824,0.6059757236227824,0.2
0,0.5322128851540616,0.5322128851540616,0.5322128851540616,0.2
0,0.6286781877627277,0.6286781877627277,0.6286781877627277,0.2
0,0.6895424836601307,0.6895424836601307,0.6895424836601307,0.4
0,0.680672268907563,0.680672268907563,0.680672268907563,0.4
0,0.6797385620915033,0.6797385620915033,0.6797385620915033,0.4
0,0.5625583566760037,0.5625583566760037,0.5625583566760037,0.4
0,0.6814572629612331,0.6814572629612331,0.6814572629612331,0.4
0,0.6727357609710551,0.6727357609710551,0.6727357609710551,0.4
0,0.6554621848739496,0.6554621848739496,0.6554621848739496,0.4
0,0.6760037348272643,0.6760037348272643,0.6760037348272643,0.4
0,0.5863678804855276,0.5863678804855276,0.5863678804855276,0.4
0,0.6879962634283046,0.6879962634283046,0.6879962634283046,0.4
0,0.6554621848739496,0.6554621848739496,0.6554621848739496,0.4
0,0.6792717086834734,0.6792717086834734,0.6792717086834734,0.4
0,0.6741363211951448,0.6741363211951448,0.6741363211951448,0.4
0,0.5756302521008403,0.5756302521008403,0.5756302521008403,0.4
0,0.6767865483418963,0.6767865483418963,0.6767865483418963,0.4
0,0.6788048552754435,0.6788048552754435,0.6788048552754435,0.4
0,0.6946778711484594,0.6946778711484594,0.6946778711484594,0.4
0,0.6755368814192344,0.6755368814192344,0.6755368814192344,0.4
0,0.5760971055088702,0.5760971055088702,0.5760971055088702,0.4
0,0.680056048575432,0.680056048575432,0.680056048575432,0.4
0,0.6867413632119514,0.6867413632119514,0.6867413632119514,0.4
0,0.6797385620915033,0.6797385620915033,0.6797385620915033,0.4
0,0.6834733893557423,0.6834733893557423,0.6834733893557423,0.4
0,0.5765639589169,0.5765639589169,0.5765639589169,0.4
0,0.6524988323213452,0.6524988323213452,0.6524988323213452,0.4
0,0.7063492063492064,0.7063492063492064,0.7063492063492064,0.6
0,0.7161531279178339,0.7161531279178338,0.7161531279178338,0.6
0,0.6970121381886087,0.6970121381886087,0.6970121381886087,0.6
0,0.6031746031746031,0.6031746031746031,0.6031746031746031,0.6
0,0.6931340495095749,0.6931340495095749,0.6931340495095749,0.6
0,0.6839402427637722,0.6839402427637722,0.6839402427637722,0.6
0,0.6853408029878618,0.6853408029878618,0.6853408029878618,0.6
0,0.6956115779645191,0.6956115779645191,0.6956115779645191,0.6
0,0.561624649859944,0.561624649859944,0.561624649859944,0.6
0,0.6968706212050444,0.6968706212050444,0.6968706212050444,0.6
0,0.7044817927170869,0.7044817927170869,0.7044817927170869,0.6
