auxFraction,f1,precision,recall,targetFraction
0,0.02707749766573296,0.02707749766573296,0.02707749766573296,0
0,0.05695611577964519,0.05695611577964519,0.05695611577964519,0
0,0.06022408963585434,0.06022408963585434,0.06022408963585434,0
0,0.02707749766573296,0.02707749766573296,0.02707749766573296,0
0,0.07239607659971976,0.07239607659971976,0.07239607659971976,0
0,0.06862745098039216,0.06862745098039216,0.06862745098039216,0
0,0.041549953314659195,0.041549953314659195,0.041549953314659195,0
0,0.1465919701213819,0.1465919701213819,0.1465919701213819,0
0.0,0.03828197945845005,0.03828197945845005,0.03828197945845005,0.0
0.0,0.03594771241830065,0.03594771241830065,0.03594771241830065,0.0
0.0,0.02100840336134454,0.02100840336134454,0.02100840336134454,0.0
0.0,0.05742296918767507,0.05742296918767507,0.05742296918767507,0.0
0.0,0.037832788416627745,0.037832788416627745,0.037832788416627745,0.0
0.0,0.022408963585434174,0.022408963585434174,0.022408963585434174,0.0
0.0,0.12885154061624648,0.12885154061624648,0.12885154061624648,0.0
0.0,0.0718954248366013,0.0718954248366013,0.0718954248366013,0.0
0.0,0.0457516339869281,0.0457516339869281,0.0457516339869281,0.0
0.0,0.029425502101821578,0.029425502101821578,0.029425502101821578,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.022408963585434174,0.022408963585434174,0.022408963585434174,0.0
0.0,0.04481792717086835,0.04481792717086835,0.04481792717086835,0.0
0.0,0.0457516339869281,0.0457516339869281,0.0457516339869281,0.0
0.0,0.061186361513311534,0.061186361513311534,0.061186361513311534,0.0
0.0,0.06302521008403361,0.06302521008403361,0.06302521008403361,0.0
0.0,0.019140989729225025,0.019140989729225025,0.019140989729225025,0.0
0.0,0.12791783380018673,0.12791783380018673,0.12791783380018673,0.0
0.0,0.01353874883286648,0.01353874883286648,0.01353874883286648,0.0
0.0,0.04577300326950024,0.045773003269500234,0.045773003269500234,0.0
0.0,0.6563958916900093,0.6563958916900093,0.6563958916900093,0.2
0.0,0.6531279178338002,0.6531279178338002,0.6531279178338002,0.2
0.0,0.6143790849673203,0.6143790849673203,0.6143790849673203,0.2
0.0,0.5392156862745098,0.5392156862745098,0.5392156862745098,0.2
0.0,0.6389537599252686,0.6389537599252686,0.6389537599252686,0.2
0.0,0.6106442577030813,0.6106442577030813,0.6106442577030813,0.2
0.0,0.6507936507936508,0.6507936507936508,0.6507936507936508,0.2
0.0,0.642390289449113,0.642390289449113,0.642390289449113,0.2
0.0,0.5280112044817927,0.5280112044817927,0.5280112044817927,0.2
0.0,0.6380196170014012,0.6380196170014012,0.6380196170014012,0.2
