f1,precision,recall,targetFraction
0.04621848739495799,0.04621848739495799,0.04621848739495799,0.0
0.1293183940242764,0.1293183940242764,0.1293183940242764,0.0
0.0718954248366013,0.0718954248366013,0.0718954248366013,0.0
0.019140989729225025,0.019140989729225025,0.019140989729225025,0.0
0.023342670401493935,0.02334267040149393,0.02334267040149393,0.0
0.05835667600373483,0.05835667600373483,0.05835667600373483,0.0
0.6498599439775911,0.6498599439775911,0.6498599439775911,0.2
0.6610644257703081,0.6610644257703081,0.6610644257703081,0.2
0.630718954248366,0.630718954248366,0.630718954248366,0.2
0.5,0.5,0.5,0.2
0.6156001868285848,0.6156001868285848,0.6156001868285848,0.2
0.6788048552754435,0.6788048552754435,0.6788048552754435,0.4
0.6970121381886087,0.6970121381886087,0.6970121381886087,0.4
0.6704014939309056,0.6704014939309056,0.6704014939309056,0.4
0.5732959850606909,0.5732959850606909,0.5732959850606909,0.4
0.658570761326483,0.658570761326483,0.658570761326483,0.4
0.6951447245564892,0.6951447245564892,0.6951447245564892,0.6
0.7175536881419234,0.7175536881419234,0.7175536881419234,0.6
0.6820728291316527,0.6820728291316527,0.6820728291316527,0.6
0.6041083099906629,0.6041083099906629,0.6041083099906629,0.6
0.7062120504437179,0.7062120504437179,0.7062120504437179,0.6
0.7138188608776844,0.7138188608776844,0.7138188608776844,0.8
0.7315592903828197,0.7315592903828197,0.7315592903828197,0.8
0.711484593837535,0.711484593837535,0.711484593837535,0.8
0.6041083099906629,0.6041083099906629,0.6041083099906629,0.8
0.7066791219056515,0.7066791219056515,0.7066791219056515,0.8
0.7254901960784313,0.7254901960784313,0.7254901960784313,1.0
0.7282913165266107,0.7282913165266106,0.7282913165266106,1.0
0.6890756302521008,0.6890756302521008,0.6890756302521008,1.0
0.5723622782446312,0.5723622782446312,0.5723622782446312,1.0
0.713218122372723,0.713218122372723,0.713218122372723,1.0
